id,judet,total_someri,total_femei,total_barbati,indemnizati,neindemnizati,rata_somaj,rata_somaj_femei,rata_somaj_barbati,total_urban,femei_urban,barbati_urban,total_rural,femei_rural,barbati_rural,fara_studii,invatamant_primar,invatamant_gimnazial,invatamant_liceal,invatamant_post,invatamant_profesional,invatamant_universitar,sub_25,25_29,30_39,40_49,50_55,peste_55,month,year
1, ALBA,5486.00,2422.00,3064.00,1745.00,3741.00,3.26,3.17,3.34,2003.00,1004.00,999.00,3483.00,1418.00,2065.00,689.00,747.00,1592.00,1171.00,58.00,927.00,302.00,713.00,353.00,1016.00,1493.00,965.00,946.00,1.00,2019.00
2, ARAD,3022.00,1505.00,1517.00,901.00,2121.00,1.42,1.60,1.27,1044.00,557.00,487.00,1978.00,948.00,1030.00,451.00,916.00,645.00,503.00,42.00,268.00,197.00,297.00,127.00,479.00,818.00,565.00,736.00,1.00,2019.00
3, ARGES,8509.00,3799.00,4710.00,2037.00,6472.00,3.27,3.15,3.38,1344.00,742.00,602.00,7165.00,3057.00,4108.00,805.00,2132.00,2734.00,1179.00,80.00,1238.00,341.00,897.00,467.00,1721.00,2398.00,1523.00,1503.00,1.00,2019.00
4, BACAU,12506.00,5009.00,7497.00,2033.00,10473.00,5.91,5.49,6.22,2804.00,1314.00,1490.00,9702.00,3695.00,6007.00,2397.00,1020.00,4028.00,3229.00,87.00,1440.00,305.00,1401.00,1881.00,2778.00,2654.00,2126.00,1666.00,1.00,2019.00
5, BIHOR,3589.00,1848.00,1741.00,1464.00,2125.00,1.34,1.51,1.20,1077.00,625.00,452.00,2512.00,1223.00,1289.00,838.00,576.00,563.00,695.00,69.00,454.00,394.00,359.00,220.00,696.00,992.00,706.00,616.00,1.00,2019.00
6, BISTRITA-NASAUD,4097.00,2094.00,2003.00,1916.00,2181.00,3.12,3.65,2.71,1343.00,837.00,506.00,2754.00,1257.00,1497.00,239.00,344.00,1382.00,1059.00,98.00,758.00,217.00,504.00,237.00,786.00,1087.00,790.00,693.00,1.00,2019.00
7, BOTOSANI,4402.00,1748.00,2654.00,1098.00,3304.00,3.22,2.73,3.66,1435.00,622.00,813.00,2967.00,1126.00,1841.00,194.00,1255.00,1288.00,615.00,89.00,834.00,127.00,409.00,179.00,670.00,1358.00,788.00,998.00,1.00,2019.00
8, BRAILA,5151.00,2017.00,3134.00,879.00,4272.00,4.10,3.58,4.53,1274.00,565.00,709.00,3877.00,1452.00,2425.00,717.00,1279.00,1891.00,474.00,63.00,587.00,140.00,566.00,254.00,893.00,1601.00,694.00,1143.00,1.00,2019.00
9, BRASOV,5948.00,2712.00,3236.00,1016.00,4932.00,2.27,2.46,2.14,1669.00,887.00,782.00,4279.00,1825.00,2454.00,1433.00,1332.00,1574.00,667.00,55.00,608.00,279.00,716.00,433.00,1350.00,1470.00,956.00,1023.00,1.00,2019.00
10, BUZAU,12414.00,4859.00,7555.00,1496.00,10918.00,7.17,6.14,8.04,2073.00,975.00,1098.00,10341.00,3884.00,6457.00,2603.00,2630.00,4136.00,965.00,76.00,1869.00,135.00,225.00,1534.00,3936.00,4559.00,2795.00,2630.00,1.00,2019.00
11, CALARASI,3894.00,1771.00,2123.00,620.00,3274.00,4.28,4.16,4.39,841.00,394.00,447.00,3053.00,1377.00,1676.00,470.00,1020.00,1284.00,548.00,40.00,453.00,79.00,939.00,542.00,2205.00,3789.00,2152.00,2787.00,1.00,2019.00
12, CARAS-SEVERIN,3540.00,1563.00,1977.00,1336.00,2204.00,3.24,3.20,3.26,1440.00,658.00,782.00,2100.00,905.00,1195.00,758.00,389.00,819.00,797.00,78.00,505.00,194.00,431.00,177.00,762.00,1065.00,657.00,802.00,1.00,2019.00
13, CLUJ,4855.00,2441.00,2414.00,1413.00,3442.00,1.33,1.52,1.17,2128.00,1280.00,848.00,2727.00,1161.00,1566.00,896.00,654.00,1153.00,876.00,108.00,721.00,447.00,339.00,180.00,621.00,1001.00,662.00,737.00,1.00,2019.00
14, CONSTANTA,8121.00,4963.00,3158.00,3872.00,4249.00,2.77,3.95,1.88,4196.00,2929.00,1267.00,3925.00,2034.00,1891.00,1067.00,933.00,2526.00,1961.00,89.00,1069.00,476.00,566.00,322.00,960.00,1261.00,883.00,863.00,1.00,2019.00
15, COVASNA,3150.00,1405.00,1745.00,519.00,2631.00,3.66,3.54,3.77,816.00,385.00,431.00,2334.00,1020.00,1314.00,563.00,1222.00,669.00,329.00,43.00,255.00,69.00,601.00,338.00,1445.00,2338.00,1704.00,1695.00,1.00,2019.00
16, DAMBOVITA,7329.00,3452.00,3877.00,982.00,6347.00,3.83,4.32,3.48,1154.00,606.00,548.00,6175.00,2846.00,3329.00,793.00,1415.00,2082.00,1786.00,65.00,960.00,228.00,613.00,226.00,691.00,787.00,378.00,455.00,1.00,2019.00
17, DOLJ,20097.00,8127.00,11970.00,2581.00,17516.00,7.56,6.86,8.12,2978.00,1522.00,1456.00,17119.00,6605.00,10514.00,925.00,6680.00,5611.00,4078.00,134.00,2268.00,401.00,1307.00,314.00,1024.00,1737.00,1310.00,1637.00,1.00,2019.00
18, GALATI,11698.00,4948.00,6750.00,1599.00,10099.00,6.09,5.76,6.35,2010.00,1120.00,890.00,9688.00,3828.00,5860.00,1543.00,2314.00,4832.00,860.00,163.00,1666.00,320.00,1752.00,1107.00,3691.00,6037.00,3623.00,3887.00,1.00,2019.00
19, GIURGIU,1964.00,1093.00,871.00,421.00,1543.00,2.40,2.92,1.95,572.00,362.00,210.00,1392.00,731.00,661.00,275.00,323.00,650.00,452.00,31.00,161.00,72.00,747.00,421.00,1821.00,3733.00,2297.00,2679.00,1.00,2019.00
20, GORJ,5900.00,2639.00,3261.00,2066.00,3834.00,4.34,4.12,4.54,1808.00,959.00,849.00,4092.00,1680.00,2412.00,441.00,352.00,1729.00,1693.00,160.00,1210.00,315.00,302.00,98.00,317.00,461.00,369.00,417.00,1.00,2019.00
21, HARGHITA,5709.00,2442.00,3267.00,1624.00,4085.00,4.23,4.23,4.23,1763.00,860.00,903.00,3946.00,1582.00,2364.00,1352.00,1371.00,1087.00,913.00,66.00,686.00,234.00,606.00,245.00,954.00,1630.00,975.00,1490.00,1.00,2019.00
22, HUNEDOARA,6423.00,3212.00,3211.00,3243.00,3180.00,3.64,3.89,3.42,4374.00,2190.00,2184.00,2049.00,1022.00,1027.00,502.00,497.00,1544.00,1870.00,128.00,1336.00,546.00,855.00,418.00,1300.00,1509.00,798.00,829.00,1.00,2019.00
23, IALOMITA,5248.00,2148.00,3100.00,1287.00,3961.00,5.55,4.98,6.02,1536.00,691.00,845.00,3712.00,1457.00,2255.00,553.00,1201.00,1864.00,527.00,56.00,988.00,59.00,586.00,327.00,1087.00,2225.00,1237.00,961.00,1.00,2019.00
24, IASI,8961.00,3872.00,5089.00,1114.00,7847.00,3.04,2.92,3.14,1488.00,750.00,738.00,7473.00,3122.00,4351.00,706.00,1767.00,3068.00,833.00,68.00,2234.00,285.00,427.00,215.00,875.00,1598.00,998.00,1135.00,1.00,2019.00
25, ILFOV,1196.00,639.00,557.00,322.00,874.00,0.62,0.78,0.51,221.00,130.00,91.00,975.00,509.00,466.00,181.00,305.00,296.00,241.00,10.00,78.00,85.00,871.00,214.00,1304.00,2526.00,1754.00,2292.00,1.00,2019.00
26, MARAMURES,6377.00,3087.00,3290.00,1352.00,5025.00,3.21,3.43,3.02,3230.00,1653.00,1577.00,3147.00,1434.00,1713.00,161.00,2739.00,1418.00,964.00,132.00,630.00,333.00,323.00,51.00,201.00,294.00,141.00,186.00,1.00,2019.00
27, MEHEDINTI,7770.00,3183.00,4587.00,1383.00,6387.00,7.46,6.70,8.09,1425.00,705.00,720.00,6345.00,2478.00,3867.00,0.00,1654.00,3732.00,1291.00,62.00,910.00,121.00,933.00,562.00,1215.00,1709.00,1267.00,691.00,1.00,2019.00
28, MURES,15679.00,8346.00,7333.00,1975.00,13704.00,1.31,1.42,1.21,1153.00,582.00,571.00,5835.00,2219.00,3616.00,37.00,135.00,2684.00,5234.00,294.00,2800.00,4495.00,521.00,254.00,1742.00,2667.00,1161.00,1425.00,1.00,2019.00
29, NEAMT,6988.00,2801.00,4187.00,1156.00,5832.00,2.98,2.77,3.13,1453.00,706.00,747.00,6997.00,2739.00,4258.00,1202.00,2538.00,1678.00,614.00,75.00,705.00,176.00,1026.00,539.00,1693.00,1856.00,925.00,949.00,1.00,2019.00
30, OLT,8450.00,3445.00,5005.00,1847.00,6603.00,4.68,4.26,5.03,2034.00,1011.00,1023.00,8071.00,3129.00,4942.00,988.00,1297.00,2672.00,1047.00,94.00,2113.00,239.00,781.00,406.00,1439.00,2525.00,1598.00,1701.00,1.00,2019.00
31, PRAHOVA,10105.00,4140.00,5965.00,1617.00,8488.00,6.25,5.61,6.78,2319.00,1247.00,1072.00,5146.00,2352.00,2794.00,2309.00,883.00,3401.00,1719.00,103.00,1642.00,48.00,908.00,438.00,1691.00,3062.00,1827.00,2179.00,1.00,2019.00
32, SALAJ,7465.00,3599.00,3866.00,2554.00,4911.00,2.54,2.85,2.31,909.00,458.00,451.00,3831.00,1422.00,2409.00,568.00,1841.00,1700.00,1446.00,166.00,1302.00,442.00,729.00,349.00,1307.00,2253.00,1439.00,1388.00,1.00,2019.00
33, SATU MARE,4740.00,1880.00,2860.00,927.00,3813.00,4.61,4.07,5.05,781.00,379.00,402.00,3124.00,1281.00,1843.00,642.00,1438.00,1203.00,692.00,70.00,545.00,150.00,752.00,369.00,960.00,1213.00,760.00,686.00,1.00,2019.00
34, SIBIU,3905.00,1660.00,2245.00,627.00,3278.00,2.64,2.45,2.81,1157.00,556.00,601.00,2441.00,1052.00,1389.00,471.00,1727.00,1046.00,275.00,10.00,297.00,79.00,483.00,279.00,958.00,1133.00,534.00,518.00,1.00,2019.00
35, SUCEAVA,3598.00,1608.00,1990.00,1062.00,2536.00,1.82,1.84,1.81,3200.00,1514.00,1686.00,8779.00,3517.00,5262.00,510.00,989.00,841.00,552.00,53.00,429.00,224.00,369.00,243.00,727.00,963.00,585.00,711.00,1.00,2019.00
36, TELEORMAN,11979.00,5031.00,6948.00,3550.00,8429.00,5.22,4.88,5.50,2402.00,1138.00,1264.00,8497.00,3191.00,5306.00,1256.00,2517.00,3593.00,1684.00,223.00,2345.00,361.00,1765.00,832.00,2322.00,3307.00,1695.00,2058.00,1.00,2019.00
37, TIMIS,10899.00,4329.00,6570.00,1554.00,9345.00,7.40,6.07,8.64,1392.00,756.00,636.00,1475.00,735.00,740.00,500.00,1470.00,5830.00,1577.00,72.00,1394.00,56.00,935.00,575.00,1883.00,3054.00,2145.00,2307.00,1.00,2019.00
38, TULCEA,2867.00,1491.00,1376.00,1355.00,1512.00,0.82,0.95,0.71,818.00,466.00,352.00,2416.00,934.00,1482.00,488.00,275.00,501.00,510.00,45.00,568.00,480.00,251.00,165.00,542.00,854.00,485.00,570.00,1.00,2019.00
39, VALCEA,3234.00,1400.00,1834.00,1024.00,2210.00,3.83,3.54,4.08,1729.00,910.00,819.00,3300.00,1473.00,1827.00,0.00,574.00,1717.00,534.00,0.00,382.00,27.00,473.00,144.00,483.00,877.00,645.00,612.00,1.00,2019.00
40, VASLUI,5029.00,2383.00,2646.00,1791.00,3238.00,3.14,3.42,2.92,1405.00,628.00,777.00,10248.00,3856.00,6392.00,239.00,639.00,1439.00,1188.00,171.00,1031.00,322.00,508.00,266.00,959.00,1442.00,991.00,863.00,1.00,2019.00
41, VRANCEA,11653.00,4484.00,7169.00,1248.00,10405.00,8.47,6.87,9.92,1139.00,520.00,619.00,4496.00,1786.00,2710.00,458.00,2229.00,4451.00,1051.00,68.00,3318.00,78.00,613.00,353.00,1992.00,4116.00,2211.00,2368.00,1.00,2019.00
42,BUCURESTI,5635.00,2306.00,3329.00,879.00,4756.00,4.10,3.58,4.57,15679.00,8346.00,7333.00,0.00,0.00,0.00,507.00,1540.00,820.00,731.00,213.00,1665.00,159.00,600.00,296.00,932.00,1489.00,1028.00,1290.00,1.00,2019.00
43,Total TARA ,289582.00,127901.00,161681.00,63485.00,226097.00,3.32,3.24,3.39,85616.00,44539.00,41077.00,203966.00,83362.00,120604.00,31727.00,57159.00,87773.00,49430.00,3807.00,45649.00,14037.00,28999.00,16950.00,54428.00,82941.00,51142.00,55122.00,1.00,2019.00
44, ALBA,5673.00,2467.00,3206.00,1782.00,3891.00,3.37,3.22,3.49,1992.00,977.00,1015.00,3681.00,1490.00,2191.00,677.00,848.00,1605.00,1255.00,124.00,889.00,275.00,588.00,345.00,1098.00,1599.00,985.00,1058.00,2.00,2019.00
45, ARAD,2937.00,1448.00,1489.00,792.00,2145.00,3.37,3.22,3.49,1007.00,529.00,478.00,1930.00,919.00,1011.00,465.00,882.00,620.00,651.00,41.00,97.00,181.00,302.00,131.00,457.00,771.00,563.00,713.00,2.00,2019.00
46, ARGES,8391.00,3776.00,4615.00,1988.00,6403.00,3.37,3.22,3.49,1305.00,713.00,592.00,7086.00,3063.00,4023.00,803.00,2096.00,2714.00,1125.00,93.00,1215.00,345.00,803.00,473.00,1674.00,2386.00,1521.00,1534.00,2.00,2019.00
47, BACAU,12574.00,4982.00,7592.00,1932.00,10642.00,3.37,3.22,3.49,2958.00,1284.00,1674.00,9616.00,3698.00,5918.00,2300.00,1167.00,4122.00,3184.00,79.00,1442.00,280.00,1092.00,1497.00,2412.00,2925.00,2284.00,2364.00,2.00,2019.00
48, BIHOR,3227.00,1667.00,1560.00,1396.00,1831.00,3.37,3.22,3.49,1043.00,589.00,454.00,2184.00,1078.00,1106.00,660.00,487.00,519.00,661.00,69.00,432.00,399.00,303.00,180.00,610.00,895.00,676.00,563.00,2.00,2019.00
49, BISTRITA-NASAUD,4060.00,2040.00,2020.00,1876.00,2184.00,3.37,3.22,3.49,1368.00,840.00,528.00,2692.00,1200.00,1492.00,240.00,356.00,1337.00,1010.00,84.00,814.00,219.00,494.00,222.00,760.00,1082.00,797.00,705.00,2.00,2019.00
50, BOTOSANI,4331.00,1710.00,2621.00,1086.00,3245.00,3.37,3.22,3.49,1411.00,612.00,799.00,2920.00,1098.00,1822.00,170.00,1249.00,1273.00,686.00,85.00,738.00,130.00,375.00,176.00,654.00,1335.00,771.00,1020.00,2.00,2019.00
51, BRAILA,5359.00,2068.00,3291.00,846.00,4513.00,3.37,3.22,3.49,1330.00,577.00,753.00,4029.00,1491.00,2538.00,808.00,1304.00,1965.00,494.00,60.00,577.00,151.00,596.00,280.00,931.00,1658.00,721.00,1173.00,2.00,2019.00
52, BRASOV,5967.00,2687.00,3280.00,1017.00,4950.00,3.37,3.22,3.49,1700.00,890.00,810.00,4267.00,1797.00,2470.00,1476.00,1314.00,1540.00,694.00,59.00,602.00,282.00,654.00,426.00,1374.00,1459.00,992.00,1062.00,2.00,2019.00
53, BUZAU,12298.00,4827.00,7471.00,1499.00,10799.00,3.37,3.22,3.49,2059.00,969.00,1090.00,10239.00,3858.00,6381.00,2444.00,2618.00,4105.00,1129.00,67.00,1814.00,121.00,843.00,527.00,2181.00,3749.00,2188.00,2810.00,2.00,2019.00
54, CALARASI,3889.00,1786.00,2103.00,595.00,3294.00,3.37,3.22,3.49,800.00,381.00,419.00,3089.00,1405.00,1684.00,476.00,1004.00,1277.00,735.00,38.00,282.00,77.00,455.00,185.00,783.00,1050.00,641.00,775.00,2.00,2019.00
55, CARAS-SEVERIN,3523.00,1535.00,1988.00,1234.00,2289.00,3.37,3.22,3.49,1421.00,642.00,779.00,2102.00,893.00,1209.00,574.00,383.00,800.00,895.00,77.00,604.00,190.00,315.00,170.00,606.00,990.00,698.00,744.00,2.00,2019.00
56, CLUJ,4751.00,2393.00,2358.00,1423.00,3328.00,3.37,3.22,3.49,2086.00,1235.00,851.00,2665.00,1158.00,1507.00,932.00,627.00,1088.00,840.00,101.00,715.00,448.00,520.00,311.00,938.00,1291.00,840.00,851.00,2.00,2019.00
57, CONSTANTA,8122.00,4934.00,3188.00,3799.00,4323.00,3.37,3.22,3.49,4198.00,2896.00,1302.00,3924.00,2038.00,1886.00,954.00,1169.00,2443.00,1715.00,91.00,1283.00,467.00,605.00,337.00,1435.00,2321.00,1723.00,1701.00,2.00,2019.00
58, COVASNA,3091.00,1378.00,1713.00,487.00,2604.00,3.37,3.22,3.49,792.00,380.00,412.00,2299.00,998.00,1301.00,550.00,1212.00,673.00,310.00,41.00,233.00,72.00,547.00,222.00,684.00,783.00,405.00,450.00,2.00,2019.00
59, DAMBOVITA,7161.00,3382.00,3779.00,919.00,6242.00,3.37,3.22,3.49,1114.00,589.00,525.00,6047.00,2793.00,3254.00,783.00,1403.00,2071.00,1684.00,65.00,936.00,219.00,1207.00,326.00,1045.00,1688.00,1267.00,1628.00,2.00,2019.00
60, DOLJ,20178.00,8164.00,12014.00,2469.00,17709.00,3.37,3.22,3.49,2969.00,1530.00,1439.00,17209.00,6634.00,10575.00,936.00,6754.00,5629.00,3263.00,114.00,3081.00,401.00,1692.00,1125.00,3689.00,6046.00,3677.00,3949.00,2.00,2019.00
